name,address,Student,Times Higher Education 2018,Shanghai ranking 2017,QS ranking 2018,color,colortmp
ETHZ,"ETHZ, Switzerland",19815,10,19,10,1.88605664769316,13
EPFL,"Morges, Switzerland",10686,38,76,12,1.3767507096021,42
University of Basel,"University of Basel, Switzerland",12873,95,95,149,0.94692155651658,113
University of Bern,"University of Bern, Switzerland",17430,105,101-150,167,0.877238182645974,132.666666666667
University of Geneva,"University of Geneva, Switzerland",16908,130,60,98,1.01772876696043,96
University of Zurich,"University of Zurich, Switzerland",25732,136,58,73,1.05060999335509,89
University of Lausanne,"Lutry,, Switzerland",14475,152,151-200,146,0.801342913045577,158
University of Fribourg,"University of Fribourg, Switzerland",10000,201-250,401-500,501-550,0.406713932979543,392
University of Neuchatel,"University of Neuchatel, Switzerland",4284,401-450,,,0.371611069949688,425
University of St Gallen,"University of St Gallen, Switzerland",8337,401-450,,372,0.399571674267869,398.5
